PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2017-02-01,10.0001,13.8781,64.2439,38.9667,75.6439,50.4614,12.0912,10
2017-02-02,9.9725,13.8015,64.1665,38.8121,75.6427,50.169,12.0955,10
2017-02-03,9.9846,13.8622,64.4233,39.1357,76.0023,50.3045,12.0898,10
2017-02-06,10.0128,13.9118,64.1612,39.3404,75.7146,50.5595,12.1345,10
2017-02-07,10.0204,14.0113,64.4349,39.4215,75.7669,50.8886,12.1523,10
2017-02-08,10.0416,14.067,64.5563,39.3485,76.036,51.1131,12.2033,10
2017-02-09,10.051,14.0254,64.7872,39.5869,76.4705,51.0208,12.1556,10
2017-02-10,10.0374,14.0292,65.0427,39.5976,77.168,50.8732,12.145,10
2017-02-13,10.0392,14.0144,65.1855,39.817,77.1243,50.9833,12.1192,10
2017-02-14,10.0425,13.9963,65.3325,39.9889,77.242,50.7084,12.0982,10
2017-02-15,10.1109,14.0212,65.5467,40.2064,77.6228,51.0218,12.0844,10
2017-02-16,10.1114,14.001,65.7398,40.1896,77.7418,51.0766,12.1135,10
2017-02-17,10.1096,14.0434,65.7117,40.4647,78.7374,51.4046,12.1349,10
2017-02-21,10.1423,14.0502,65.9592,40.7549,79.4043,51.4099,12.1339,10
2017-02-22,10.2261,14.0826,65.7889,40.8494,79.0821,51.6378,12.1399,10
2017-02-23,10.2263,14.0536,65.775,40.593,78.9566,51.5107,12.1681,10
2017-02-24,10.1817,13.9792,64.9371,40.6696,77.8108,51.2152,12.2194,10
2017-02-27,10.186,14.0152,64.8948,40.6713,77.3667,51.3347,12.1913,10
2017-02-28,10.2392,14.1378,64.5872,40.9784,77.313,51.9358,12.1856,10
2017-03-01,10.3269,14.2572,65.2594,41.821,78.4564,52.4655,12.1474,10
2017-03-02,10.3417,14.2507,65.2242,41.6572,77.9442,52.4748,12.1412,10
2017-03-03,10.3315,14.2732,65.4086,41.7661,78.2278,52.2848,12.1443,10
2017-03-06,10.3287,14.2729,65.6086,41.5745,78.0649,52.2919,12.1507,10
2017-03-07,10.3474,14.2791,65.5994,41.4385,77.7765,52.3468,12.1249,10
2017-03-08,10.3868,14.3101,65.2285,41.6104,77.3043,52.3771,12.089,10
2017-03-09,10.3603,14.3668,65.3426,41.7103,78.0189,52.5397,12.066,10
2017-03-10,10.3705,14.4122,65.373,41.72,78.1861,52.779,12.0631,10
2017-03-13,10.4224,14.4575,65.5074,41.8076,78.5447,53.0758,12.0325,10
2017-03-14,10.4346,14.4607,65.1575,41.7252,78.0459,52.9532,12.0547,10
2017-03-15,10.4607,14.5024,65.4237,41.9212,78.307,53.1226,12.1146,10
2017-03-16,10.5216,14.5412,65.4483,41.5483,78.4909,53.3865,12.0927,10
2017-03-17,10.5888,14.6283,65.2969,41.7634,78.3225,53.7589,12.1241,10
2017-03-20,10.6474,14.6397,65.0274,41.6024,77.9457,53.8911,12.1457,10
2017-03-21,10.6554,14.5967,64.4851,40.9541,76.879,53.7885,12.1628,10
2017-03-22,10.6686,14.5385,64.4981,41.0031,76.8985,53.5766,12.1829,10
2017-03-23,10.6132,14.5877,64.885,40.9604,77.5385,53.8,12.1885,10
