PerformanceDate,E-EM,E-GSC,E-CLC,E-US,E-CSC,E-IE,D-CB,A-CMM
2017-02-01,0.000007457,0.006311741,-0.000063853,0.002277455,0.004122549,0.006480053,-0.000085409,0.000010630
2017-02-02,-0.002754011,-0.005519429,-0.001204496,-0.003968878,-0.000015283,-0.005795405,0.000358392,0.000010610
2017-02-03,0.001212052,0.004400963,0.004002231,0.008337701,0.004752936,0.002701383,-0.000477347,0.000010610
2017-02-06,0.002821858,0.003577940,-0.004068651,0.005231623,-0.003784444,0.005068448,0.003698482,0.000031551
2017-02-07,0.000759567,0.007148609,0.004266912,0.002061180,0.000690318,0.006504672,0.001470576,0.000010660
2017-02-08,0.002113196,0.003976484,0.001883332,-0.001853015,0.003551707,0.004412549,0.004196958,0.000010690
2017-02-09,0.000937210,-0.002958991,0.003577181,0.006059497,0.005714946,-0.001806859,-0.003911011,0.000010600
2017-02-10,-0.001349080,0.000274271,0.003942881,0.000270755,0.009121059,-0.002892830,-0.000876376,0.000010740
2017-02-13,0.000180435,-0.001054629,0.002196266,0.005541871,-0.000567112,0.002165409,-0.002123917,0.000031841
2017-02-14,0.000328439,-0.001291855,0.002255377,0.004315127,0.001526828,-0.005392631,-0.001732629,0.000010630
2017-02-15,0.006806510,0.001780268,0.003277440,0.005439078,0.004930268,0.006180511,-0.001136754,0.000011130
2017-02-16,0.000049697,-0.001443932,0.002946650,-0.000417395,0.001532027,0.001075180,0.002409931,0.000010570
2017-02-17,-0.000180784,0.003028157,-0.000427170,0.006845573,0.012807005,0.006421510,0.001768045,0.000010580
2017-02-21,0.003242125,0.000487717,0.003766080,0.007170961,0.008470012,0.000101818,-0.000090452,0.000042212
2017-02-22,0.008254045,0.002302599,-0.002581308,0.002318295,-0.004057726,0.004434252,0.000495317,0.000010690
2017-02-23,0.000025828,-0.002055919,-0.000211453,-0.006276725,-0.001587702,-0.002462073,0.002327236,0.000010580
2017-02-24,-0.004360992,-0.005298938,-0.012739882,0.001887478,-0.014510625,-0.005737502,0.004218779,0.000010530
2017-02-27,0.000418360,0.002573883,-0.000650480,0.000043476,-0.005707463,0.002333185,-0.002303208,0.000031461
2017-02-28,0.005226973,0.008747458,-0.004739942,0.007550096,-0.000694327,0.011710021,0.001480463,0.000010580
2017-03-01,0.008560263,0.008445888,0.010407615,0.020562144,0.014788585,0.010200080,-0.003131715,0.000010650
2017-03-02,0.001432572,-0.000455966,-0.000539931,-0.003916177,-0.006527576,0.000176408,-0.000510613,0.000010540
2017-03-03,-0.000982609,0.001582483,0.002827749,0.002613340,0.003637616,-0.003621401,0.000255881,0.000010550
2017-03-06,-0.000271342,-0.000019675,0.003056841,-0.004586870,-0.002081726,0.000136125,0.000525815,0.000031471
2017-03-07,0.001813920,0.000431027,-0.000139303,-0.003271602,-0.003694744,0.001050080,-0.002118998,0.000010590
2017-03-08,0.003801816,0.002173770,-0.005653775,0.004146913,-0.006070614,0.000578952,-0.002961937,0.000010600
2017-03-09,-0.002548630,0.003957877,0.001748000,0.002401862,0.009243360,0.003104243,-0.001907998,0.000010490
2017-03-10,0.000982467,0.003162792,0.000465562,0.000233030,0.002142794,0.004554103,-0.000234768,0.000010580
2017-03-13,0.005002313,0.003142321,0.002056780,0.002098875,0.004587111,0.005624506,-0.002535775,0.000031971
2017-03-14,0.001174899,0.000223236,-0.005342398,-0.001971481,-0.006351428,-0.002310092,0.001839189,0.000010610
2017-03-15,0.002501855,0.002879517,0.004085481,0.004698439,0.003346523,0.003198719,0.004975935,0.000011340
2017-03-16,0.005818413,0.002679735,0.000375932,-0.008896090,0.002347382,0.004968887,-0.001809394,0.000010600
2017-03-17,0.006391461,0.005988851,-0.002312295,0.005178740,-0.002144571,0.006974205,0.002597756,0.000010760
2017-03-20,0.005536929,0.000779583,-0.004128342,-0.003856205,-0.004810752,0.002459853,0.001781917,0.000031851
2017-03-21,0.000747045,-0.002936531,-0.008338710,-0.015583863,-0.013685403,-0.001903870,0.001403205,0.000010530
2017-03-22,0.001236626,-0.003988531,0.000200826,0.001196481,0.000252841,-0.003938863,0.001651904,0.000010490
2017-03-23,-0.005192669,0.003386176,0.005999279,-0.001040071,0.008323782,0.004169348,0.000461947,0.000010930
2017-03-24,0.004035956,0.002666721,0.001570991,0.003419960,0.006620803,0.004975726,0.002766648,0.000010940
2017-03-27,-0.004687150,0.003268460,0.001476693,-0.001730423,0.003781508,0.002667819,0.001764791,0.000032701
2017-03-28,0.002682787,0.001065817,0.008171033,0.004266052,0.000935140,0.003080876,-0.001571773,0.000010830
2017-03-29,0.000194097,-0.001327757,0.002635672,0.001704266,0.000978561,-0.001405925,0.002152479,0.000010910
2017-03-30,-0.006516666,-0.004082520,-0.003811389,-0.005126690,-0.001298841,-0.006330235,-0.002172852,0.000010880
2017-03-31,-0.004416741,0.002587428,-0.001836688,0.001321027,0.004596390,0.001207262,0.000470725,0.000010940
2017-04-03,0.008059549,0.004313355,0.001396265,0.000927379,-0.000196226,0.004658541,0.003248553,0.000032371
2017-04-04,0.004082293,0.004130277,0.004406781,0.000849575,0.005974160,0.004347377,0.000425918,0.000011050
2017-04-05,0.001741524,-0.000561356,-0.001300657,-0.002828794,0.000673019,0.000134156,0.001666004,0.000011050
2017-04-06,-0.003612089,0.000821111,0.001794171,0.002435354,0.002696075,-0.002867620,0.000601943,0.000011120
2017-04-07,0.000995822,-0.001835754,-0.001564158,-0.001544660,-0.001107297,0.000461582,-0.002304434,0.000011110
2017-04-10,-0.006433485,-0.001812654,0.003635086,-0.003412040,0.005950327,-0.003751303,-0.000051905,0.000033391
2017-04-11,-0.003836879,0.004580945,-0.002107592,-0.001256198,0.001001694,0.001583831,0.003098418,0.000011130
2017-04-12,0.001965034,0.002195765,-0.003147223,-0.005987302,-0.003126916,0.003287311,0.001792588,0.000011170
2017-04-13,0.001116457,-0.005296681,-0.006319217,-0.007864804,-0.012263059,-0.002200576,0.002088675,0.000011170
2017-04-17,0.002296285,0.004709089,0.009302944,0.010779491,0.006401226,0.005685605,-0.000680107,0.000045202
